,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1360,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,Very High,Lvl 1,Laboratory Technician,High,62,471,3978,16031,8,No,12,Excellent,Medium,80,Lvl 1,0-10 years,0 year,Good,0-10 years,2 years,2 years,2 years
1361,20-29,Male,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Other,High,Very High,Lvl 1,Laboratory Technician,Very High,61,1096,2544,7102,0,No,18,Excellent,Low,80,Lvl 1,0-10 years,3 years,Better,0-10 years,7 years,7 years,7 years
1362,40-49,Male,Single,No,Travel Frequently,Very Close,Research & Development,Master,Medical,Medium,High,Lvl 2,Healthcare Representative,High,44,1297,5399,14511,4,No,12,Excellent,High,80,Lvl 0,11-20 years,3 years,Better,0-10 years,2 years,0 year,3 years
1363,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Master,Marketing,Medium,High,Lvl 2,Sales Executive,High,43,217,5487,10410,1,No,14,Excellent,Medium,80,Lvl 0,11-20 years,2 years,Good,11-20 years,4 years,0 year,9 years
1364,20-29,Male,Married,No,Travel Frequently,Very Close,Sales,College,Life Sciences,High,Medium,Lvl 2,Sales Executive,Very High,42,783,6834,19255,1,Yes,12,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,7 years,0 year,7 years
1365,20-29,Male,Single,Yes,Travel Frequently,Far,Sales,Bachelor,Technical Degree,High,Very High,Lvl 1,Sales Representative,Low,45,746,1091,10642,1,No,17,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
1366,30-39,Female,Married,No,Non Travel,Far,Sales,Master,Life Sciences,Low,Low,Lvl 2,Sales Executive,High,32,1251,5736,3987,6,No,19,Excellent,High,80,Lvl 1,11-20 years,1 years,Better,0-10 years,2 years,1 years,2 years
1367,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Technical Degree,Medium,High,Lvl 1,Research Scientist,Medium,41,1354,2226,6073,1,No,11,Excellent,High,80,Lvl 1,0-10 years,3 years,Good,0-10 years,3 years,1 years,2 years
1368,30-39,Male,Married,No,Travel Frequently,Far,Research & Development,Master,Other,High,Medium,Lvl 2,Research Scientist,Very High,86,735,5747,26496,1,Yes,15,Excellent,Medium,80,Lvl 0,11-20 years,3 years,Better,11-20 years,10 years,6 years,11 years
1369,20-29,Female,Single,Yes,Travel Rarely,Close,Sales,College,Marketing,Very High,High,Lvl 2,Sales Executive,High,84,1475,9854,23352,3,Yes,11,Excellent,Very High,80,Lvl 0,0-10 years,0 year,Better,0-10 years,0 year,2 years,2 years
1370,40-49,Male,Married,No,Non Travel,Close,Research & Development,Master,Technical Degree,High,High,Lvl 2,Research Scientist,Medium,64,1169,5467,2125,8,No,18,Excellent,High,80,Lvl 1,11-20 years,4 years,Best,0-10 years,7 years,1 years,7 years
1371,50-59,Female,Married,No,Travel Rarely,Close,Sales,Doctor,Marketing,Very High,Medium,Lvl 2,Sales Executive,Low,89,1443,5380,20328,4,No,16,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
1372,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Low,High,Lvl 2,Manufacturing Director,Low,87,867,5151,12315,1,No,25,Outstanding,Very High,80,Lvl 1,11-20 years,3 years,Better,11-20 years,0 year,7 years,9 years
1373,30-39,Female,Divorced,No,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,Very High,Medium,Lvl 2,Research Scientist,Medium,58,1394,2133,18115,1,Yes,16,Excellent,High,80,Lvl 1,21-29 years,3 years,Better,21-29 years,11 years,0 year,7 years
1374,50-59,Female,Married,No,Travel Rarely,Far,Sales,Bachelor,Life Sciences,Very High,High,Lvl 4,Manager,Very High,72,605,17875,11761,4,Yes,13,Excellent,High,80,Lvl 1,21-29 years,2 years,Good,0-10 years,0 year,0 year,0 year
1375,30-39,Female,Single,Yes,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Low,Very High,Lvl 1,Research Scientist,High,47,238,2432,15318,3,Yes,14,Excellent,Low,80,Lvl 0,0-10 years,2 years,Better,0-10 years,1 years,0 year,3 years
1376,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Medium,High,Lvl 1,Research Scientist,Very High,71,1206,4771,14293,2,No,19,Excellent,Very High,80,Lvl 2,11-20 years,0 year,Best,0-10 years,2 years,0 year,3 years
1377,40-49,Male,Married,No,Travel Frequently,Very Close,Research & Development,Below College,Life Sciences,Medium,High,Lvl 5,Research Director,Very High,42,1064,19161,13738,3,No,15,Excellent,Very High,80,Lvl 0,21-29 years,3 years,Better,0-10 years,4 years,4 years,3 years
1378,40-49,Male,Divorced,No,Travel Rarely,Close,Sales,Master,Marketing,Medium,High,Lvl 2,Sales Executive,Very High,77,419,5087,2900,3,Yes,12,Excellent,High,80,Lvl 2,11-20 years,4 years,Better,0-10 years,0 year,0 year,0 year
1379,20-29,Female,Married,Yes,Travel Frequently,Far,Human Resources,Bachelor,Human Resources,Low,Medium,Lvl 1,Human Resources,Medium,58,1337,2863,19555,1,No,12,Excellent,Low,80,Lvl 0,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
1380,30-39,Male,Married,No,Travel Rarely,Close,Sales,Master,Medical,Medium,High,Lvl 2,Sales Executive,Low,71,682,5561,15975,0,No,16,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Bad,0-10 years,3 years,0 year,4 years
1381,20-29,Male,Single,No,Non Travel,Close,Research & Development,Bachelor,Medical,High,High,Lvl 1,Research Scientist,High,49,1103,2144,2122,1,No,14,Excellent,High,80,Lvl 0,0-10 years,3 years,Good,0-10 years,3 years,1 years,4 years
1382,30-39,Male,Divorced,No,Non Travel,Very Close,Research & Development,College,Medical,High,High,Lvl 1,Research Scientist,Low,48,976,3065,3995,1,Yes,13,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Best,0-10 years,2 years,2 years,3 years
1383,30-39,Male,Married,No,Non Travel,Very Close,Research & Development,Master,Life Sciences,Low,Very High,Lvl 1,Laboratory Technician,Medium,66,1351,2810,9238,1,No,22,Outstanding,Medium,80,Lvl 0,0-10 years,3 years,Better,0-10 years,4 years,0 year,2 years
1384,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Low,High,Lvl 3,Sales Executive,Very High,32,937,9888,6770,1,No,21,Outstanding,Low,80,Lvl 0,11-20 years,3 years,Good,11-20 years,8 years,2 years,1 years
1385,30-39,Male,Divorced,No,Travel Rarely,Close,Sales,Master,Medical,Very High,High,Lvl 3,Sales Executive,High,39,1239,8628,22914,1,No,18,Excellent,High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,7 years,1 years,1 years
1386,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 1,Laboratory Technician,Low,95,157,2867,20006,0,No,13,Excellent,Very High,80,Lvl 0,0-10 years,6 years,Good,0-10 years,7 years,7 years,6 years
1387,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 2,Healthcare Representative,Low,89,136,5373,6225,0,No,12,Excellent,Low,80,Lvl 1,0-10 years,5 years,Good,0-10 years,3 years,0 year,2 years
1388,30-39,Female,Divorced,No,Non Travel,Close,Research & Development,Master,Medical,High,High,Lvl 2,Healthcare Representative,Very High,34,1146,6667,16542,5,No,18,Excellent,Medium,80,Lvl 1,0-10 years,6 years,Better,0-10 years,1 years,1 years,2 years
1389,30-39,Male,Married,No,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Very High,Low,Lvl 2,Research Scientist,Low,48,1125,5003,5771,1,No,21,Outstanding,Medium,80,Lvl 0,11-20 years,6 years,Better,11-20 years,8 years,8 years,7 years
1390,20-29,Male,Divorced,Yes,Travel Rarely,Close,Research & Development,Bachelor,Technical Degree,High,Medium,Lvl 1,Laboratory Technician,Very High,32,1404,2367,18779,5,No,12,Excellent,Low,80,Lvl 1,0-10 years,2 years,Good,0-10 years,1 years,0 year,3 years
1391,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,Low,Medium,Lvl 1,Sales Representative,Low,59,1404,2858,11473,4,No,14,Excellent,Low,80,Lvl 0,21-29 years,3 years,Good,0-10 years,0 year,0 year,0 year
1392,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,High,High,Lvl 2,Sales Executive,Very High,55,1224,5204,13586,1,Yes,11,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,11-20 years,8 years,0 year,9 years
1393,20-29,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Very High,High,Lvl 2,Sales Executive,Very High,44,954,4105,5099,1,No,14,Excellent,Low,80,Lvl 0,0-10 years,5 years,Better,0-10 years,7 years,0 year,7 years
1394,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Very High,Medium,Lvl 2,Manufacturing Director,Very High,56,1373,9679,10138,8,No,24,Outstanding,Medium,80,Lvl 0,0-10 years,1 years,Better,0-10 years,0 year,0 year,0 year
1395,30-39,Male,Married,Yes,Travel Frequently,Far,Sales,Master,Marketing,Low,High,Lvl 2,Sales Executive,Very High,63,754,5617,21075,1,Yes,11,Excellent,High,80,Lvl 0,11-20 years,4 years,Better,11-20 years,7 years,0 year,8 years
1396,50-59,Male,Single,Yes,Travel Rarely,Far,Sales,Master,Life Sciences,Low,High,Lvl 3,Sales Executive,Low,66,1168,10448,5843,6,Yes,13,Excellent,Medium,80,Lvl 0,11-20 years,2 years,Good,0-10 years,2 years,2 years,2 years
1397,50-59,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Low,High,Lvl 2,Research Scientist,High,67,155,2897,22474,3,No,11,Excellent,High,80,Lvl 2,0-10 years,6 years,Good,0-10 years,3 years,2 years,3 years
1398,30-39,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 2,Healthcare Representative,High,36,1303,5968,18079,1,No,20,Outstanding,High,80,Lvl 3,0-10 years,2 years,Better,0-10 years,7 years,2 years,8 years
1399,40-49,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 3,Healthcare Representative,High,30,574,7510,16873,1,No,17,Excellent,Medium,80,Lvl 1,11-20 years,1 years,Better,11-20 years,9 years,0 year,9 years
1400,30-39,Male,Married,No,Travel Frequently,Very Close,Human Resources,Master,Other,Very High,High,Lvl 1,Human Resources,Medium,88,1444,2991,5224,0,Yes,11,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,1 years,2 years
1401,50-59,Male,Married,No,Travel Rarely,Far,Human Resources,Master,Human Resources,High,Very High,Lvl 5,Manager,Medium,71,189,19636,25811,4,Yes,18,Excellent,Low,80,Lvl 1,31-40 years,0 year,Better,11-20 years,9 years,1 years,4 years
1402,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Very High,Low,Lvl 1,Laboratory Technician,Very High,59,1276,1129,17536,1,Yes,11,Excellent,High,80,Lvl 3,0-10 years,4 years,Better,0-10 years,0 year,0 year,0 year
1403,30-39,Male,Single,No,Travel Rarely,Close,Sales,Master,Marketing,Medium,High,Lvl 4,Sales Executive,Low,77,119,13341,25098,0,No,12,Excellent,Low,80,Lvl 0,21-29 years,3 years,Better,21-29 years,8 years,11 years,10 years
1404,40-49,Male,Single,No,Non Travel,Far,Research & Development,College,Life Sciences,Very High,Medium,Lvl 2,Research Scientist,High,37,335,4332,14811,1,No,12,Excellent,Very High,80,Lvl 0,21-29 years,2 years,Better,21-29 years,9 years,3 years,7 years
1405,30-39,Female,Married,No,Non Travel,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 3,Research Director,High,40,697,11031,26862,4,No,20,Outstanding,High,80,Lvl 1,11-20 years,2 years,Best,11-20 years,7 years,4 years,8 years
1406,50-59,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 2,Manufacturing Director,Low,77,157,4440,25198,6,Yes,19,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,1 years,4 years
1407,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Medium,Medium,Lvl 2,Healthcare Representative,High,45,771,4617,14120,1,No,12,Excellent,Medium,80,Lvl 0,0-10 years,2 years,Good,0-10 years,3 years,1 years,2 years
1408,20-29,Male,Single,No,Travel Rarely,Close,Research & Development,College,Other,Very High,High,Lvl 1,Laboratory Technician,Very High,78,571,2647,13672,1,No,13,Excellent,High,80,Lvl 0,0-10 years,6 years,Best,0-10 years,2 years,1 years,4 years
1409,40-49,Female,Married,No,Travel Frequently,Close,Research & Development,Bachelor,Technical Degree,Very High,High,Lvl 2,Laboratory Technician,High,73,692,6323,26849,1,No,11,Excellent,Low,80,Lvl 1,11-20 years,2 years,Best,11-20 years,9 years,9 years,4 years
1410,40-49,Female,Married,No,Travel Rarely,Very Close,Sales,College,Marketing,Medium,High,Lvl 2,Sales Executive,Medium,92,444,5677,4258,3,No,14,Excellent,High,80,Lvl 1,11-20 years,4 years,Better,11-20 years,8 years,5 years,10 years
1411,20-29,Female,Married,No,Travel Rarely,Very Close,Human Resources,Bachelor,Human Resources,High,High,Lvl 1,Human Resources,Medium,82,309,2187,19655,4,No,14,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,1 years,2 years
1412,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,College,Medical,Very High,High,Lvl 1,Laboratory Technician,Medium,76,911,3748,4077,1,No,13,Excellent,High,80,Lvl 0,11-20 years,6 years,Good,11-20 years,8 years,1 years,7 years
1413,20-29,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,Below College,Other,Very High,High,Lvl 1,Laboratory Technician,High,57,977,3977,7298,6,Yes,19,Excellent,High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,2 years,0 year,2 years
1414,40-49,Male,Single,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,Low,High,Lvl 3,Healthcare Representative,High,84,1180,8633,13084,2,No,23,Outstanding,Medium,80,Lvl 0,21-29 years,3 years,Better,11-20 years,14 years,12 years,11 years
1415,30-39,Male,Divorced,No,Non Travel,Very Close,Research & Development,College,Medical,Medium,Medium,Lvl 1,Laboratory Technician,High,59,1313,2008,20439,1,No,12,Excellent,High,80,Lvl 3,0-10 years,2 years,Good,0-10 years,1 years,0 year,0 year
1416,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,Very High,High,Lvl 2,Sales Executive,Medium,86,1321,4440,7636,0,No,15,Excellent,Low,80,Lvl 2,11-20 years,3 years,Better,11-20 years,13 years,5 years,8 years
1417,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,College,Life Sciences,Low,High,Lvl 1,Sales Representative,High,54,1154,3067,6393,0,No,19,Excellent,High,80,Lvl 1,0-10 years,1 years,Better,0-10 years,2 years,1 years,2 years
1418,30-39,Male,Married,No,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,Low,Medium,Lvl 2,Manufacturing Director,High,72,508,5321,14284,2,No,11,Excellent,Very High,80,Lvl 1,11-20 years,1 years,Better,0-10 years,3 years,7 years,7 years
1419,40-49,Male,Divorced,No,Travel Rarely,Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 2,Research Scientist,Low,35,557,5410,11189,6,Yes,17,Excellent,High,80,Lvl 1,0-10 years,3 years,Good,0-10 years,3 years,1 years,2 years
1420,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 1,Research Scientist,Very High,76,642,2782,21412,3,No,22,Outstanding,Low,80,Lvl 1,11-20 years,3 years,Better,0-10 years,3 years,1 years,0 year
1421,40-49,Female,Married,No,Non Travel,Very Close,Research & Development,Below College,Medical,High,High,Lvl 3,Research Director,Medium,98,1162,11957,17231,0,No,18,Excellent,Low,80,Lvl 2,11-20 years,3 years,Bad,11-20 years,8 years,5 years,12 years
1422,30-39,Male,Married,No,Travel Rarely,Close,Research & Development,Master,Medical,Very High,High,Lvl 1,Laboratory Technician,High,43,1490,2660,20232,7,Yes,11,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
1423,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 1,Research Scientist,High,63,581,3375,17624,0,No,12,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Best,0-10 years,2 years,1 years,2 years
1424,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Medium,High,Lvl 2,Research Scientist,High,48,1395,5098,18698,1,No,19,Excellent,Medium,80,Lvl 0,11-20 years,5 years,Better,11-20 years,7 years,0 year,8 years
1425,30-39,Female,Married,No,Travel Rarely,Close,Research & Development,College,Medical,Medium,High,Lvl 2,Healthcare Representative,Very High,95,501,4878,21653,0,Yes,13,Excellent,Low,80,Lvl 1,11-20 years,6 years,Better,0-10 years,7 years,8 years,1 years
1426,30-39,Female,Single,No,Travel Rarely,Far,Research & Development,Master,Life Sciences,High,Medium,Lvl 1,Laboratory Technician,Medium,49,267,2837,15919,1,No,13,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,4 years,1 years
1427,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Low,High,Lvl 1,Laboratory Technician,Very High,83,543,2406,4060,8,No,19,Excellent,High,80,Lvl 2,0-10 years,3 years,Good,0-10 years,0 year,0 year,0 year
1428,30-39,Male,Married,No,Travel Rarely,Very Close,Sales,Master,Medical,Medium,Medium,Lvl 1,Sales Representative,Medium,68,234,2269,18024,0,No,14,Excellent,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
1429,30-39,Male,Single,No,Travel Rarely,Far,Research & Development,Below College,Life Sciences,Low,High,Lvl 2,Research Scientist,Very High,52,116,4108,5340,7,No,13,Excellent,Low,80,Lvl 0,11-20 years,2 years,Better,0-10 years,7 years,1 years,7 years
1430,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Medium,Low,Lvl 3,Research Director,High,99,201,13206,3376,3,No,12,Excellent,Low,80,Lvl 1,21-29 years,3 years,Better,11-20 years,16 years,1 years,11 years
1431,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Marketing,High,High,Lvl 3,Sales Executive,Very High,48,801,10422,24032,1,No,19,Excellent,High,80,Lvl 2,11-20 years,3 years,Better,11-20 years,10 years,5 years,7 years
1432,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Very High,Lvl 3,Research Director,Very High,42,161,13744,15471,1,Yes,25,Outstanding,Low,80,Lvl 1,11-20 years,2 years,Better,11-20 years,11 years,6 years,8 years
1433,20-29,Female,Divorced,No,Travel Rarely,Very Close,Sales,College,Other,Low,High,Lvl 2,Sales Executive,High,85,1382,4907,13684,0,Yes,22,Outstanding,Medium,80,Lvl 1,0-10 years,3 years,Good,0-10 years,3 years,0 year,4 years
1434,50-59,Male,Divorced,No,Non Travel,Far,Sales,Master,Life Sciences,Low,High,Lvl 1,Sales Representative,Very High,40,585,3482,19788,2,No,15,Excellent,Medium,80,Lvl 2,11-20 years,3 years,Good,0-10 years,8 years,0 year,0 year
1435,40-49,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Medium,High,Lvl 1,Research Scientist,Very High,42,1037,2436,13422,6,Yes,12,Excellent,High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,3 years,1 years,2 years
1436,20-29,Male,Single,No,Travel Rarely,Very Close,Sales,Below College,Medical,High,High,Lvl 1,Sales Representative,Low,58,501,2380,25479,1,Yes,11,Excellent,Very High,80,Lvl 0,0-10 years,6 years,Better,0-10 years,2 years,1 years,2 years
1437,30-39,Male,Single,No,Non Travel,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 5,Manager,Very High,87,105,19431,15302,2,No,13,Excellent,High,80,Lvl 0,21-29 years,3 years,Good,0-10 years,0 year,1 years,3 years
1438,20-29,Male,Married,Yes,Travel Frequently,Very Close,Sales,Bachelor,Marketing,Very High,High,Lvl 1,Sales Representative,Low,33,638,1790,26956,1,No,19,Excellent,Low,80,Lvl 1,0-10 years,3 years,Good,0-10 years,0 year,1 years,0 year
1439,30-39,Female,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Medical,Low,Medium,Lvl 3,Sales Executive,Very High,94,557,7644,12695,0,No,19,Excellent,High,80,Lvl 2,11-20 years,2 years,Better,0-10 years,7 years,3 years,4 years
